Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2023,Bali,Kab. Bangli,113,41195
2023,Bali,Kab. Buleleng,413,150563
2023,Kalimantan Barat,Kab. Mempawah,84,30769
2023,Kalimantan Barat,Kab. Sanggau,250,91225
2023,Kalimantan Barat,Kab. Kapuas Hulu,134,49063
2023,Kalimantan Barat,Kota Pontianak,442,161287
2023,Kalimantan Barat,Kota Singkawang,95,34814
2023,Kalimantan Tengah,Kab. Kapuas,214,78008
2023,Kalimantan Tengah,Kab. Barito Selatan,67,24440
2023,Kalimantan Tengah,Kab. Barito Utara,65,23833
2023,Kalimantan Tengah,Kab. Seruyan,83,30308
2023,Kalimantan Tengah,Kab. Barito Timur,46,16849
2023,Kalimantan Tengah,Kota Palangkaraya,156,56945
2023,Kalimantan Selatan,Kab. Tanah Laut,144,52712
2023,Kalimantan Selatan,Kab. Barito Kuala,99,36061
2023,Kalimantan Selatan,Kab. Tapin,84,30566
2023,Kalimantan Selatan,Kab. Hulu Sungai Tengah,105,38407
2023,Kalimantan Selatan,Kab. Tanah Bumbu,172,62733
2023,Kalimantan Timur,Kab. Berau,141,51282
2023,Kalimantan Timur,Kab. Penajam Paser Utara,98,35873
2023,Kalimantan Timur,Kab. Mahakam Ulu,18,6538
2023,Kalimantan Timur,Kota Balikpapan,529,193038
2023,Kalimantan Timur,Kota Samarinda,599,218800
2023,Kalimantan Timur,Kota Bontang,106,38829
2023,Sulawesi Utara,Kab. Minahasa,175,63923
2023,Sulawesi Utara,Kab. Minahasa Tenggara,47,17127
2023,Sulawesi Utara,Kab. Bolaang Mongondow Utara,34,12343
2023,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,29,10608
2023,Sulawesi Utara,Kota Tomohon,51,18747
2023,Sulawesi Tengah,Kab. Morowali,88,32165
2023,Sulawesi Tengah,Kab. Banggai Kepulauan,61,22207
2023,Sulawesi Tengah,Kab. Parigi Moutong,227,82948
2023,Sulawesi Tengah,Kab. Banggai Laut,37,13673
2023,Sulawesi Tengah,Kab. Morowali Utara,73,26588
2023,Sulawesi Selatan,Kab. Kepulauan Selayar,56,20569
2023,Sulawesi Selatan,Kab. Bulukumba,183,66611
2023,Sulawesi Selatan,Kab. Bantaeng,83,30378
2023,Sulawesi Selatan,Kab. Bone,408,148772
2023,Sulawesi Selatan,Kab. Maros,164,59962
2023,Sulawesi Selatan,Kab. Soppeng,94,34463
2023,Sulawesi Selatan,Kab. Sidenreng Rappang,131,47803
2023,Sulawesi Selatan,Kab. Tana Toraja,108,39564
2023,Sulawesi Selatan,Kab. Luwu Timur,122,44606
2023,Sulawesi Selatan,Kota Makassar,1032,376707
2023,Sulawesi Selatan,Kota Parepare,79,28957
2023,Sulawesi Selatan,Kota Palopo,95,34833
2023,Sulawesi Tenggara,Kab. Muna,94,34352
2023,Sulawesi Tenggara,Kab. Kolaka Utara,56,20608
2023,Sulawesi Tenggara,Kab. Kolaka Timur,57,20652
2023,Sulawesi Tenggara,Kota Kendari,271,98864
2023,Gorontalo,Kota Gorontalo,142,51919
2023,Sulawesi Barat,Kab. Majene,71,25899
2023,Papua,Kab. Biak Numfor,59,21435
2023,Papua,Kab. Keerom,27,9695
2023,Papua,Kota Jayapura,242,88283
2023,Papua Barat,Kab. Manokwari,180,65849
2023,Papua Selatan,Kab. Boven Digoel,26,9518
2023,Papua Selatan,Kab. Asmat,46,16965
